t1,R1,t2,R2,t3,R3
0,112,0,111.6,0,94.5
10,111.9,30,108.6,30,88.1
20,111.7,60,105.6,60,81.2
30,111.6,90,102.6,90,75.6
40,111.4,120,99.7,120,70.5
50,111.1,150,96.6,150,65.8
60,110.9,180,93.5,180,61.8
70,110.7,210,90.1,210,57.8
80,110.4,240,87.3,240,50.2
90,110.2,270,85.3,270,49
100,109.9,300,83.2,300,46.5
110,109.6,330,81.2,330,42.9
120,109.3,360,79,360,40.4
130,109,390,77.2,390,36.8
140,108.6,420,75.2,420,34.8
150,108.3,450,73.3,450,32.7
160,107.9,480,71.4,480,31.2
170,107.6,510,69.7,510,30.7
180,107.2,540,68.1,540,28.5
190,106.9,570,66.8,570,27.1
200,106.5,600,65.3,600,25.1
210,106.1,630,63.8,630,23.6
220,105.8,660,62.3,660,22.5
230,105.4,690,60.9,690,22.2
240,105.1,720,59.5,720,21.6
250,104.8,750,58.1,750,20
260,104.4,780,56.6,780,18.6
270,104,810,55.4,810,17.8
280,103.7,840,54,840,17
290,103.3,870,53.2,870,16.4
300,102.6,900,52.1,900,15.7
320,100.8,930,51.1,930,15
340,99.8,960,50.1,960,14.5
360,99.3,990,49.1,990,13.9
380,98.8,1020,48.2,1020,13.4
400,98.1,1050,47.2,1050,12.9
420,97.5,1080,46.1,1080,12.4
440,96.7,1110,45.1,1110,12
460,96.4,1140,43.7,1140,11.7
480,96.1,1170,43.2,1170,11.2
500,95,1200,42.6,1200,10.8
520,94.5,1230,41.6,,
540,93.7,1260,40.6,,
560,93.2,1290,39.9,,
580,92.6,1320,39.1,,
600,92.1,1350,38.5,,
630,91.2,1380,38.1,,
660,90.5,1410,37.1,,
690,89.6,1440,36.3,,
720,88.8,1470,35.7,,
750,88.1,1500,35,,
780,87.8,1530,34.4,,
810,87.5,1560,33.8,,
840,86.3,1590,33.3,,
870,85.2,1620,32.1,,
900,84.4,1650,32.2,,
930,84.1,1680,31.7,,
960,83.5,1710,31.2,,
990,82.4,1740,30.8,,
1020,81.7,1770,30.3,,
1050,81,1800,29.8,,
1080,80.6,,,,
1110,79.6,,,,
1140,79.3,,,,
1170,78.7,,,,
1200,78.1,,,,
1260,76.9,,,,
1320,75.6,,,,
1380,74.7,,,,
1440,73.6,,,,
1500,72.7,,,,
1560,72.2,,,,
1620,71.1,,,,
1680,70.7,,,,
1740,69.5,,,,
1800,68.5,,,,
