V tupla (mV),T tupla (grados),R 10k (Kohms),T 10k (grados),R 100k (kOhm),T 100k (grados),T pt100 (grados),R pt100 [Ohm],T LM  [C],V LM [mV],T diodo [C],V diodo[mV],T Cu [C],R Cu [ohm]
0.3,33,5.12,40,122.1,20,20,109,25,358,25,552,25,183
0.4,35,4.12,45,103.1,25,25,110,30,458,30,539,30,187
0.6,40,3.37,50,83.5,30,30,112,35,535,35,526,35,190
0.9,45,2.79,55,66.3,35,35,114,40,589,40,515,40,194
1.1,50,2.29,60,54,40,40,116,45,703,45,504,45,198
1.3,55,1.88,65,43.2,45,45,118,50,785,50,492,50,201
1.5,60,1.54,70,35.8,50,50,120,55,991,55,481,55,205
1.7,65,1.22,75,28.8,55,55,122,60,1087,60,451,60,209
2,70,1.09,80,23.5,60,60,124,65,1199,65,460,65,213
2.2,75,0.89,85,19.2,65,65,127,70,1295,70,448,70,217
2.4,80,,,16,70,70,128,75,1400,75,437,75,220
2.6,85,,,13.2,75,75,131,80,1507,80,426,80,224
2.7,88,,,11,80,80,133,85,1548,85,419,85,228
,,,,9.3,85,85,135,,,,,,
